year,country,iso_code,fossil_twh,renewables_twh,total_twh,fossil_pct,renew_pct
1982,Norway,NOR,121.959,273.519,395.478,30.84,69.16
1982,Pakistan,PAK,152.034,30.88,182.914,83.12,16.88
1982,Peru,PER,87.779,25.309,113.088,77.62,22.38
1982,Poland,POL,1367.637,5.421,1373.058,99.61,0.39
1982,Romania,ROU,692.222,35.052,727.274,95.18,4.82
1982,Saudi Arabia,SAU,551.853,0.0,551.853,100.0,0.0
1982,Slovakia,SVK,193.343,5.104,198.447,97.43,2.57
1982,South Africa,ZAF,805.711,3.004,808.715,99.63,0.37
1982,Spain,ESP,789.497,79.415,868.91199999999992,90.86,9.14
1982,Switzerland,CHE,150.19,107.612,257.802,58.26,41.74
1982,Taiwan,TWN,277.726,14.162,291.888,95.15,4.85
1982,Thailand,THA,138.479,11.343,149.822,92.43,7.57
1982,Turkey,TUR,286.79,41.891,328.68100000000004,87.25,12.75
1982,United Kingdom,GBR,2146.985,13.413,2160.398,99.38,0.62
1982,United States,USA,17458.037,1015.499,18473.536,94.5,5.5
1982,Venezuela,VEN,435.913,46.762,482.675,90.31,9.69
1982,Vietnam,VNM,53.358,4.613,57.971,92.04,7.96
1983,Algeria,DZA,270.272,0.695,270.967,99.74,0.26
1983,Argentina,ARG,421.144,54.958,476.102,88.46,11.54
1983,Australia,AUS,783.714,37.225,820.93900000000008,95.47,4.53
1983,Austria,AUT,209.993,90.502,300.495,69.88,30.12
1983,Bangladesh,BGD,38.233,1.958,40.190999999999995,95.13,4.87
1983,Belgium,BEL,429.504,1.064,430.56800000000004,99.75,0.25
1983,Brazil,BRA,708.712,493.075,1201.787,58.97,41.03
1983,Bulgaria,BGR,296.56,9.915,306.475,96.76,3.24
1983,Canada,CAN,1669.3,793.073,2462.373,67.79,32.21
1983,Chile,CHL,75.452,29.09,104.542,72.17,27.83
1983,China,CHN,5042.164,255.534,5297.6979999999994,95.18,4.82
1983,Colombia,COL,163.436,46.183,209.619,77.97,22.03
1983,Czechia,CZE,604.516,4.894,609.41,99.2,0.8
1983,Denmark,DNK,189.829,0.285,190.114,99.85,0.15
1983,Egypt,EGY,261.788,29.024,290.812,90.02,9.98
1983,Finland,FIN,171.277,40.158,211.435,81.01,18.99
1983,France,FRA,1635.61,210.318,1845.9279999999999,88.61,11.39
1983,Germany,DEU,3736.759,60.248,3797.007,98.41,1.59
1983,Greece,GRC,193.379,6.919,200.298,96.55,3.45
1983,Hungary,HUN,307.005,0.458,307.463,99.85,0.15
1983,India,IND,1254.259,142.064,1396.323,89.83,10.17
1983,Indonesia,IDN,347.661,6.129,353.79,98.27,1.73
1983,Iran,IRN,527.597,18.504,546.101,96.61,3.39
1983,Ireland,IRL,93.573,2.304,95.877,97.6,2.4
1983,Israel,ISR,101.809,0.003,101.812,100.0,0.0
1983,Italy,ITA,1470.51,132.421,1602.931,91.74,8.26
1983,Japan,JPN,3490.373,283.894,3774.267,92.48,7.52
1983,Luxembourg,LUX,28.892,0.293,29.185,99.0,1.0
1983,Malaysia,MYS,155.789,5.172,160.96099999999998,96.79,3.21
1983,Mexico,MEX,967.5,65.146,1032.646,93.69,6.31
1983,Morocco,MAR,60.949,1.422,62.370999999999995,97.72,2.28
1983,Netherlands,NLD,757.146,0.737,757.88299999999992,99.9,0.1
1983,New Zealand,NZL,80.327,64.308,144.635,55.54,44.46
1983,Norway,NOR,122.246,312.518,434.76399999999995,28.12,71.88
1983,Pakistan,PAK,159.608,35.767,195.375,81.69,18.31
1983,Peru,PER,74.483,24.435,98.918,75.3,24.7
1983,Poland,POL,1373.266,6.109,1379.375,99.56,0.44
1983,Romania,ROU,692.521,29.682,722.203,95.89,4.11
1983,Saudi Arabia,SAU,597.982,0.0,597.982,100.0,0.0
1983,Slovakia,SVK,192.772,5.417,198.189,97.27,2.73
1983,South Africa,ZAF,817.694,1.759,819.453,99.79,0.21
1983,Spain,ESP,802.957,81.765,884.722,90.76,9.24
1983,Switzerland,CHE,163.233,104.945,268.178,60.87,39.13
1983,Taiwan,TWN,295.536,14.762,310.298,95.24,4.76
1983,Thailand,THA,153.426,10.823,164.249,93.41,6.59
1983,Turkey,TUR,306.172,33.54,339.71200000000005,90.13,9.87
1983,United Kingdom,GBR,2139.325,13.413,2152.738,99.38,0.62
1983,United States,USA,17279.002,1094.357,18373.359,94.04,5.96
1983,Venezuela,VEN,427.554,53.412,480.96599999999995,88.89,11.11
1983,Vietnam,VNM,56.986,3.616,60.602,94.03,5.97
1984,Algeria,DZA,258.86,1.337,260.197,99.49,0.51
1984,Argentina,ARG,415.029,59.146,474.175,87.53,12.47
1984,Australia,AUS,812.199,40.221,852.42,95.28,4.72
1984,Austria,AUT,218.075,79.394,297.469,73.31,26.69
1984,Bangladesh,BGD,40.79,2.652,43.442,93.9,6.1
1984,Belgium,BEL,441.641,1.115,442.75600000000003,99.75,0.25
1984,Brazil,BRA,729.179,545.857,1275.036,57.19,42.81
1984,Bulgaria,BGR,293.673,9.64,303.313,96.82,3.18
1984,Canada,CAN,1764.493,853.523,2618.016,67.4,32.6
1984,Chile,CHL,78.387,30.138,108.525,72.23,27.77
1984,China,CHN,5428.434,256.71,5685.144,95.48,4.52
1984,Colombia,COL,160.881,51.497,212.378,75.75,24.25
1984,Czechia,CZE,622.948,3.838,626.786,99.39,0.61
1984,Denmark,DNK,193.0,0.293,193.293,99.85,0.15
1984,Egypt,EGY,288.637,28.475,317.112,91.02,8.98
1984,Finland,FIN,180.004,39.173,219.177,82.13,17.87
1984,France,FRA,1589.16,199.424,1788.584,88.85,11.15
1984,Germany,DEU,3811.103,59.887,3870.9900000000002,98.45,1.55
1984,Greece,GRC,200.675,8.463,209.138,95.95,4.05
1984,Hungary,HUN,311.796,0.535,312.331,99.83,0.17
1984,India,IND,1330.719,158.738,1489.457,89.34,10.66
1984,Indonesia,IDN,382.745,6.691,389.436,98.28,1.72
1984,Iran,IRN,572.862,17.302,590.164,97.07,2.93
1984,Ireland,IRL,92.828,2.029,94.857,97.86,2.14
1984,Israel,ISR,105.94,0.006,105.946,99.99,0.01
1984,Italy,ITA,1489.553,135.455,1625.008,91.66,8.34
1984,Japan,JPN,3815.343,249.967,4065.31,93.85,6.15
1984,Luxembourg,LUX,31.129,0.315,31.444000000000003,99.0,1.0
1984,Malaysia,MYS,163.266,10.206,173.47199999999998,94.12,5.88
1984,Mexico,MEX,1006.992,73.834,1080.826,93.17,6.83
1984,Morocco,MAR,62.122,1.082,63.204,98.29,1.71
1984,Netherlands,NLD,786.785,0.054,786.83899999999994,99.99,0.01
1984,New Zealand,NZL,86.663,66.597,153.26,56.55,43.45
1984,Norway,NOR,127.063,313.154,440.217,28.86,71.14
1984,Pakistan,PAK,169.575,37.074,206.649,82.06,17.94
1984,Peru,PER,78.106,26.188,104.294,74.89,25.11
1984,Poland,POL,1428.652,5.265,1433.9170000000001,99.63,0.37
1984,Romania,ROU,683.508,33.491,716.999,95.33,4.67
1984,Saudi Arabia,SAU,715.298,0.0,715.298,100.0,0.0
1984,Slovakia,SVK,207.158,4.598,211.756,97.83,2.17
1984,South Africa,ZAF,882.728,1.656,884.3839999999999,99.81,0.19
1984,Spain,ESP,769.224,94.854,864.07800000000009,89.02,10.98
1984,Switzerland,CHE,161.129,89.574,250.70299999999997,64.27,35.73
1984,Taiwan,TWN,296.902,12.977,309.87899999999996,95.81,4.19
1984,Thailand,THA,170.049,12.067,182.116,93.37,6.63
